@relation feature0720

@attribute edge-mean numeric
@attribute edge-std numeric
@attribute grey-1 numeric
@attribute grey-2 numeric
@attribute grey-3 numeric
@attribute grey-4 numeric
@attribute grey-5 numeric
@attribute grey-6 numeric
@attribute grey-7 numeric
@attribute grey-8 numeric
@attribute grey-9 numeric
@attribute grey-10 numeric
@attribute grey-11 numeric
@attribute grey-12 numeric
@attribute grey-13 numeric
@attribute grey-14 numeric
@attribute grey-15 numeric
@attribute grey-16 numeric
@attribute grey-17 numeric
@attribute grey-18 numeric
@attribute grey-19 numeric
@attribute grey-20 numeric
@attribute red-1 numeric
@attribute red-2 numeric
@attribute red-3 numeric
@attribute red-4 numeric
@attribute red-5 numeric
@attribute red-6 numeric
@attribute red-7 numeric
@attribute red-8 numeric
@attribute red-9 numeric
@attribute red-10 numeric
@attribute red-11 numeric
@attribute red-12 numeric
@attribute red-13 numeric
@attribute red-14 numeric
@attribute red-15 numeric
@attribute red-16 numeric
@attribute red-17 numeric
@attribute red-18 numeric
@attribute red-19 numeric
@attribute red-20 numeric
@attribute green-1 numeric
@attribute green-2 numeric
@attribute green-3 numeric
@attribute green-4 numeric
@attribute green-5 numeric
@attribute green-6 numeric
@attribute green-7 numeric
@attribute green-8 numeric
@attribute green-9 numeric
@attribute green-10 numeric
@attribute green-11 numeric
@attribute green-12 numeric
@attribute green-13 numeric
@attribute green-14 numeric
@attribute green-15 numeric
@attribute green-16 numeric
@attribute green-17 numeric
@attribute green-18 numeric
@attribute green-19 numeric
@attribute green-20 numeric
@attribute blue-1 numeric
@attribute blue2 numeric
@attribute blue-3 numeric
@attribute blue-4 numeric
@attribute blue-5 numeric
@attribute blue-6 numeric
@attribute blue-7 numeric
@attribute blue-8 numeric
@attribute blue-9 numeric
@attribute blue-10 numeric
@attribute blue-11 numeric
@attribute blue-12 numeric
@attribute blue-13 numeric
@attribute blue-14 numeric
@attribute blue-15 numeric
@attribute blue-16 numeric
@attribute blue-17 numeric
@attribute blue-18 numeric
@attribute blue-19 numeric
@attribute blue-20 numeric
@attribute sharpness numeric
@attribute contrast numeric
@attribute hue-complex numeric
@attribute max-hue-value string
@attribute max-hue numeric
@attribute max-hue-std string
@attribute saturation-std numeric
@attribute saturation-mean numeric
@attribute class {vividly,mighty,elegant,tshing-iu,bleak,unclassified}

@data
0.076171,0.014547,0,0,0.000196,0.022491,0.097085,0.077786,0.074737,0.084107,0.039025,0.018456,0.013879,0.009559,0.007633,0.008313,0.014577,0.508032,0.024125,0,0,0,0,0,0.0001,0.016356,0.08421,0.042235,0.03494,0.02784,0.02779,0.023473,0.029014,0.028591,0.033075,0.051285,0.055299,0.09452,0.451021,0.000253,0,0,0,0,0.000594,0.054157,0.131189,0.101484,0.051345,0.03216,0.028043,0.016669,0.012989,0.009242,0.007897,0.00848,0.020854,0.511537,0.013359,0,0,0,0,0,0.003598,0.053904,0.119367,0.091641,0.075819,0.042509,0.022007,0.0131,0.010342,0.007758,0.007747,0.00958,0.054943,0.485527,0.00216,0,0,0,0.793833,246,1,0.299968224,253,100.403984,0.081589,0.15309,vividly
0.105149,0.05196,0.001244,0.000558,0.000747,0.001604,0.003288,0.006431,0.009563,0.015205,0.02639,0.040422,0.051196,0.063743,0.056674,0.066053,0.191545,0.264597,0.138747,0.035084,0.022118,0.004789,0.001787,0.000821,0.001932,0.007019,0.019968,0.03657,0.04418,0.036674,0.031126,0.020171,0.01397,0.013991,0.034174,0.074381,0.063956,0.082068,0.207468,0.22353,0.073421,0.012792,0.001332,0.000682,0.000795,0.001394,0.002597,0.004984,0.007805,0.009764,0.016325,0.028198,0.041832,0.054422,0.07314,0.076529,0.180877,0.293483,0.137891,0.03652,0.025368,0.006062,0.001129,0.000682,0.001581,0.002095,0.00527,0.011533,0.022544,0.036809,0.071137,0.122857,0.247374,0.250044,0.135297,0.039394,0.01405,0.010414,0.010925,0.011669,0.004804,0.000393,0.886381,251,4,0.152800969,29,1.469693846,0.018742,0.321808,vividly
0.086302,0.018418,0.001686,0.008555,0.099039,0.056019,0.032537,0.03169,0.030698,0.032797,0.028333,0.029326,0.026507,0.018431,0.013995,0.013384,0.014026,0.016046,0.023274,0.046252,0.448513,0.02889,0.001154,0.007129,0.090665,0.055566,0.031689,0.027185,0.026388,0.023535,0.024585,0.024232,0.021001,0.016144,0.014859,0.012723,0.013622,0.019915,0.029889,0.034171,0.111397,0.414152,0.001866,0.008665,0.100127,0.055041,0.035036,0.03803,0.03249,0.028487,0.036226,0.028739,0.020237,0.014279,0.013199,0.013082,0.014145,0.015311,0.02498,0.055892,0.441107,0.023059,0.004493,0.021735,0.120012,0.049969,0.057069,0.03904,0.033773,0.027507,0.023301,0.017018,0.013599,0.011235,0.012388,0.013529,0.016482,0.023246,0.050474,0.43279,0.027063,0.005276,0.986484,239,2,0.071542614,29,4.4,0.040656,0.164857,vividly
0.08202,0.039946,0,0.00004,0.003932,0.012756,0.022636,0.031736,0.034752,0.040496,0.100216,0.273936,0.264324,0.110816,0.027596,0.018532,0.024952,0.024832,0.006768,0.001028,0.000304,0.000348,0,0.000012,0.00226,0.01128,0.019824,0.02278,0.022924,0.021432,0.02356,0.02444,0.052204,0.1113,0.2427,0.24036,0.114608,0.027884,0.0267,0.028432,0.006484,0.000816,0,0.000056,0.004908,0.013484,0.022432,0.03308,0.040384,0.055004,0.181716,0.328784,0.180404,0.049004,0.017516,0.018056,0.02432,0.022132,0.007148,0.000972,0.000284,0.000316,0.000004,0.000424,0.0093,0.025236,0.053568,0.141576,0.422924,0.19876,0.073676,0.045296,0.0182,0.004512,0.0024,0.001384,0.000976,0.0006,0.000416,0.000248,0.0002,0.0003,0.884232,245,2,0.319031209,19,0.748331477,0.025138,0.43796,vividly
0.104998,0.034788,0,0,0,0,0,0.000466,0.003792,0.008459,0.015754,0.025746,0.040582,0.070728,0.086681,0.07615,0.048951,0.033959,0.075554,0.159679,0.349691,0.003807,0,0,0,0.000253,0.005762,0.01005,0.014684,0.021983,0.026935,0.021705,0.016466,0.010393,0.01801,0.038612,0.051941,0.052327,0.09086,0.090025,0.421594,0.1084,0,0,0,0.000278,0.000998,0.002176,0.006344,0.011467,0.019608,0.026567,0.042108,0.068103,0.081779,0.070225,0.04795,0.035713,0.049349,0.173282,0.358537,0.005517,0,0,0,0.000119,0.006381,0.016416,0.028584,0.051724,0.081985,0.072864,0.05878,0.041931,0.042147,0.036794,0.025967,0.020913,0.127686,0.205362,0.182081,0.000268,0.817471,245,6,0.102939976,25,39.29172941,0.040475,0.206729,vividly
0.167488,0.033953,0.00007,0.002399,0.014088,0.025965,0.026366,0.034853,0.068791,0.202754,0.081767,0.029607,0.026739,0.025604,0.025164,0.026868,0.030378,0.038642,0.054765,0.065548,0.067213,0.15242,0.000026,0.00071,0.009399,0.018141,0.023038,0.018495,0.019281,0.017997,0.020859,0.022627,0.023214,0.022064,0.024915,0.027091,0.029431,0.033894,0.073386,0.260818,0.107357,0.247258,0.00024,0.004971,0.022331,0.044991,0.132016,0.16562,0.0537,0.025551,0.024777,0.024378,0.02561,0.022768,0.024443,0.02607,0.032862,0.036082,0.063829,0.057785,0.061732,0.150245,0.003795,0.073961,0.227194,0.053351,0.040114,0.031915,0.027334,0.022302,0.022662,0.021569,0.021437,0.020621,0.029516,0.042803,0.056328,0.04231,0.041111,0.045733,0.171763,0.004182,0.967355,245,13,0.146236928,7,0,0.135632,0.419821,vividly
0.017703,0.01299,0.000041,0.000237,0.000695,0.001518,0.002076,0.002938,0.003753,0.004305,0.004336,0.004302,0.004049,0.003551,0.003111,0.003023,0.005516,0.06381,0.676055,0.212687,0.003984,0.000015,0.000039,0.000194,0.000597,0.001136,0.0017,0.001984,0.002453,0.002672,0.003088,0.003216,0.003475,0.003376,0.003619,0.003448,0.00339,0.003581,0.011384,0.305581,0.597822,0.047244,0.000038,0.000253,0.000787,0.00164,0.002625,0.003504,0.004113,0.004109,0.004347,0.004148,0.003922,0.003188,0.002961,0.003236,0.008482,0.122186,0.691717,0.137134,0.001596,0.000013,0.00013,0.000498,0.00151,0.002599,0.003825,0.004537,0.004708,0.004355,0.00459,0.004254,0.003751,0.004109,0.016054,0.301185,0.613253,0.030234,0.000397,0.000011,0,0,0.915882,153,2,0.328414601,24,0.8,0.008075,0.223583,vividly
0.038268,0.024253,0.000003,0.000199,0.001685,0.012489,0.035254,0.028296,0.016007,0.010631,0.009436,0.013134,0.01369,0.014794,0.013394,0.008974,0.007358,0.007751,0.008592,0.015571,0.737059,0.045686,0.000002,0.000038,0.000752,0.004965,0.025588,0.029565,0.023257,0.012346,0.008706,0.009415,0.013181,0.012137,0.014543,0.013072,0.009223,0.007464,0.008654,0.009689,0.079005,0.718398,0.000005,0.000241,0.002079,0.014139,0.035944,0.028845,0.015845,0.009281,0.009519,0.013433,0.014497,0.014226,0.012847,0.008592,0.007368,0.007543,0.008772,0.02137,0.753758,0.021696,0.00005,0.000709,0.005344,0.027888,0.035238,0.022175,0.01236,0.008594,0.012248,0.014136,0.014968,0.012867,0.010006,0.007629,0.008154,0.007751,0.012445,0.670244,0.114174,0.003019,0.899918,224,1,0.283972579,19,2.059126028,0.014344,0.0992,vividly
0.105346,0.031,0.000198,0.000217,0.000394,0.000662,0.001008,0.001667,0.002439,0.004081,0.006636,0.01089,0.018147,0.02886,0.038244,0.039091,0.034553,0.031132,0.292766,0.473413,0.015289,0.000314,0.000099,0.000179,0.000304,0.000447,0.000833,0.001166,0.001752,0.002068,0.003234,0.004422,0.006669,0.009302,0.015666,0.025133,0.037806,0.044169,0.050691,0.460133,0.324956,0.010972,0.000209,0.000223,0.000449,0.000651,0.001172,0.002095,0.003463,0.005512,0.009589,0.015247,0.023965,0.028872,0.03644,0.034656,0.031271,0.028202,0.469104,0.295312,0.013322,0.000245,0.000333,0.000377,0.00063,0.000965,0.001771,0.003052,0.005599,0.008617,0.014903,0.024368,0.034075,0.036229,0.036728,0.03274,0.040133,0.715194,0.036056,0.008078,0.000152,0,0.975084,239,3,0.073031563,9,0,0.010202,0.153418,vividly
0.129316,0.041184,0.003157,0.021128,0.044988,0.029868,0.020822,0.019562,0.020246,0.021194,0.023433,0.024196,0.02533,0.026855,0.026345,0.028703,0.037641,0.051399,0.129508,0.424472,0.021116,0.000036,0.001909,0.014886,0.039442,0.031801,0.022647,0.018956,0.018836,0.018151,0.020954,0.021255,0.023415,0.021717,0.025402,0.02907,0.027461,0.025342,0.042515,0.383541,0.211897,0.000804,0.003319,0.023589,0.045894,0.027515,0.021873,0.02045,0.021591,0.02015,0.023331,0.023709,0.025162,0.025216,0.026194,0.028313,0.043956,0.040606,0.125732,0.430552,0.022815,0.00003,0.005858,0.033121,0.047557,0.029424,0.027383,0.027191,0.027419,0.027755,0.031507,0.034616,0.044436,0.031297,0.03497,0.061291,0.056915,0.228782,0.245174,0.005264,0.000042,0,0.892227,243,2,0.067042737,32,1.264911064,0.026303,0.173308,vividly
0.212323,0.051205,0.029155,0.042772,0.029833,0.026455,0.026303,0.027448,0.02859,0.029062,0.029531,0.03043,0.032162,0.034703,0.037119,0.039117,0.041146,0.047014,0.078794,0.234001,0.14419,0.012176,0.027485,0.042867,0.028539,0.023553,0.025076,0.025811,0.026275,0.024844,0.027502,0.028034,0.029301,0.028758,0.034338,0.039603,0.043682,0.042231,0.05494,0.137655,0.283992,0.025513,0.028392,0.042912,0.031936,0.026083,0.028224,0.028526,0.02883,0.026678,0.029635,0.031077,0.032742,0.032516,0.037515,0.039396,0.042126,0.045772,0.086332,0.242494,0.12716,0.011653,0.042416,0.041503,0.031376,0.029399,0.031556,0.031874,0.033281,0.031702,0.034868,0.034601,0.033845,0.030978,0.034432,0.037225,0.045483,0.068141,0.152134,0.197676,0.050585,0.006923,0.993747,247,6,0.041040274,29,1.2,0.038991,0.158138,vividly
0.094154,0.046869,0.001743,0.00341,0.006871,0.019065,0.054511,0.092211,0.141042,0.208189,0.199617,0.138376,0.077321,0.021969,0.014171,0.009579,0.00648,0.004145,0.001233,0.000068,0,0,0.001178,0.002543,0.004256,0.007895,0.020361,0.043618,0.0654,0.094239,0.14307,0.184184,0.163554,0.121637,0.100935,0.033236,0.007419,0.004269,0.001709,0.00048,0.000017,0,0.001858,0.003652,0.008214,0.022241,0.06531,0.108223,0.159188,0.212993,0.188754,0.124923,0.051718,0.013563,0.015191,0.010655,0.007003,0.004486,0.001926,0.000098,0.000004,0,0.002738,0.006569,0.02128,0.087934,0.24625,0.366871,0.182674,0.028248,0.009885,0.012479,0.013933,0.009103,0.006356,0.003886,0.001611,0.00014,0.000038,0.000004,0,0,0.882793,252,2,0.144127471,22,0.8,0.020178,0.421125,vividly
0.174151,0.032349,0,0.000004,0.000009,0.000171,0.000989,0.003516,0.015762,0.060922,0.124922,0.175905,0.163007,0.131985,0.099606,0.073073,0.066662,0.051036,0.024683,0.006616,0.001085,0.000049,0,0,0.000004,0.000018,0.000231,0.001154,0.003549,0.009582,0.037298,0.108521,0.177286,0.14628,0.133135,0.117986,0.084716,0.066821,0.064815,0.037269,0.010023,0.001313,0,0.000004,0.000014,0.000235,0.001277,0.004884,0.024423,0.07078,0.134152,0.181092,0.159029,0.121005,0.093552,0.072281,0.066091,0.043624,0.021257,0.00547,0.000795,0.000036,0.000004,0.00001,0.000194,0.001596,0.01446,0.063904,0.12466,0.144296,0.192119,0.152886,0.099292,0.06521,0.063359,0.045477,0.022316,0.007602,0.002417,0.000189,0.000009,0,0.981243,249,2,0.154520978,23,1.166190379,0.044141,0.275753,vividly
0.041914,0.014287,0,0.000058,0.013081,0.014641,0.004253,0.003734,0.005148,0.006611,0.007516,0.012473,0.020288,0.022852,0.025247,0.026933,0.020852,0.150875,0.658664,0.003362,0.000952,0.002458,0,0.000002,0.000679,0.020068,0.009415,0.003792,0.004024,0.003712,0.004243,0.004203,0.005394,0.006526,0.009411,0.014487,0.024204,0.033948,0.101602,0.74197,0.010166,0.002154,0,0.000136,0.016241,0.012138,0.004288,0.005109,0.006564,0.007694,0.012199,0.016917,0.018835,0.019404,0.022686,0.024692,0.019717,0.239616,0.568342,0.00203,0.0009,0.002491,0.000002,0.000145,0.013188,0.016592,0.0076,0.011081,0.018463,0.017761,0.024019,0.027668,0.025652,0.014115,0.011796,0.185733,0.61819,0.003771,0.000449,0.000405,0.000662,0.002707,0.857921,231,3,0.100360981,23,109.4495317,0.011396,0.208691,vividly
0.074097,0.038849,0,0,0.000074,0.000404,0.001864,0.005802,0.015518,0.036897,0.061247,0.077732,0.135728,0.515049,0.146272,0.003278,0.000132,0.000004,0,0,0,0,0,0,0.000031,0.000175,0.000548,0.001953,0.005153,0.011146,0.025216,0.037208,0.050377,0.057973,0.137612,0.419297,0.226889,0.026082,0.000334,0.000008,0,0,0,0,0.000089,0.000474,0.002466,0.007095,0.019911,0.042241,0.069596,0.080645,0.208252,0.489452,0.079099,0.000606,0.00007,0.000004,0,0,0,0,0,0.000016,0.000245,0.001969,0.014788,0.07407,0.216501,0.514384,0.17407,0.003798,0.000159,0,0,0,0,0,0,0,0,0,0.720388,221,2,0.242725467,26,0.8,0.01095,0.436745,vividly
0.128325,0.043626,0.002274,0.0117,0.015451,0.015524,0.018084,0.020997,0.024329,0.030505,0.044014,0.064104,0.077363,0.099068,0.166396,0.205792,0.155805,0.040669,0.004937,0.001791,0.00088,0.000315,0.001442,0.008636,0.013703,0.012149,0.012775,0.013936,0.016344,0.016586,0.020181,0.025028,0.034135,0.048865,0.069072,0.079072,0.109085,0.220876,0.235265,0.058886,0.003194,0.000768,0.002611,0.012426,0.016163,0.01568,0.019836,0.022715,0.027005,0.031994,0.049871,0.06729,0.080652,0.098757,0.179266,0.194985,0.142521,0.030652,0.004739,0.001713,0.00079,0.000337,0.0035,0.015688,0.022827,0.032861,0.07199,0.145209,0.232849,0.187419,0.136167,0.099081,0.032365,0.007669,0.004842,0.002918,0.002003,0.001165,0.000755,0.000449,0.000168,0.000073,0.854251,252,2,0.209934714,28,0.632455532,0.016936,0.485661,vividly
